group;shooter;metho;dist;ss
camseb;seb;basket;6;1
camseb;seb;cuiller;6;1
camseb;seb;basket;6;0
camseb;seb;cuiller;6;0
camseb;seb;basket;6;1
camseb;seb;cuiller;6;0
camseb;seb;basket;6;1
camseb;seb;cuiller;6;1
camseb;cam;basket;6;0
camseb;cam;cuiller;6;1
camseb;cam;basket;6;1
camseb;cam;cuiller;6;1
camseb;cam;basket;6;1
camseb;cam;cuiller;6;1
camseb;cam;basket;6;1
camseb;cam;cuiller;6;1
camseb;seb;basket;8;1
camseb;seb;cuiller;8;1
camseb;seb;basket;8;1
camseb;seb;cuiller;8;0
camseb;seb;basket;8;1
camseb;seb;cuiller;8;1
camseb;seb;basket;8;1
camseb;seb;cuiller;8;1
camseb;cam;basket;8;1
camseb;cam;cuiller;8;1
camseb;cam;basket;8;0
camseb;cam;cuiller;8;0
camseb;cam;basket;8;0
camseb;cam;cuiller;8;0
camseb;cam;basket;8;0
camseb;cam;cuiller;8;0
camseb;seb;basket;10;1
camseb;seb;cuiller;10;0
camseb;seb;basket;10;1
camseb;seb;cuiller;10;1
camseb;seb;basket;10;0
camseb;seb;cuiller;10;0
camseb;seb;basket;10;0
camseb;seb;cuiller;10;1
camseb;cam;basket;10;1
camseb;cam;cuiller;10;1
camseb;cam;basket;10;0
camseb;cam;cuiller;10;1
camseb;cam;basket;10;0
camseb;cam;cuiller;10;1
camseb;cam;basket;10;0
camseb;cam;cuiller;10;1
camseb;seb;basket;12;0
camseb;seb;cuiller;12;0
camseb;seb;basket;12;1
camseb;seb;cuiller;12;0
camseb;seb;basket;12;0
camseb;seb;cuiller;12;0
camseb;seb;basket;12;0
camseb;seb;cuiller;12;0
camseb;cam;basket;12;1
camseb;cam;cuiller;12;0
camseb;cam;basket;12;0
camseb;cam;cuiller;12;0
camseb;cam;basket;12;0
camseb;cam;cuiller;12;0
camseb;cam;basket;12;0
camseb;cam;cuiller;12;0
louju;lou;basket;6;0
louju;ju;basket;6;0
louju;lou;basket;6;0
louju;ju;basket;6;0
louju;lou;basket;6;1
louju;ju;basket;6;0
louju;lou;basket;6;0
louju;ju;basket;6;1
louju;lou;basket;8;0
louju;ju;basket;8;0
louju;lou;basket;8;1
louju;ju;basket;8;0
louju;lou;basket;8;1
louju;ju;basket;8;0
louju;lou;basket;8;0
louju;ju;basket;8;0
louju;lou;basket;10;0
louju;ju;basket;10;0
louju;lou;basket;10;1
louju;ju;basket;10;0
louju;lou;basket;10;0
louju;ju;basket;10;1
louju;lou;basket;10;0
louju;ju;basket;10;0
louju;lou;basket;12;0
louju;ju;basket;12;1
louju;lou;basket;12;0
louju;ju;basket;12;0
louju;lou;basket;12;0
louju;ju;basket;12;0
louju;lou;basket;12;0
louju;ju;basket;12;1
louju;lou;cuiller;6;1
louju;ju;cuiller;6;0
louju;lou;cuiller;6;1
louju;ju;cuiller;6;1
louju;lou;cuiller;6;1
louju;ju;cuiller;6;1
louju;lou;cuiller;6;0
louju;ju;cuiller;6;0
louju;lou;cuiller;8;0
louju;ju;cuiller;8;0
louju;lou;cuiller;8;1
louju;ju;cuiller;8;0
louju;lou;cuiller;8;0
louju;ju;cuiller;8;0
louju;lou;cuiller;8;0
louju;ju;cuiller;8;0
louju;lou;cuiller;10;0
louju;ju;cuiller;10;0
louju;lou;cuiller;10;0
louju;ju;cuiller;10;1
louju;lou;cuiller;10;1
louju;ju;cuiller;10;1
louju;lou;cuiller;10;0
louju;ju;cuiller;10;1
louju;lou;cuiller;12;0
louju;ju;cuiller;12;0
louju;lou;cuiller;12;0
louju;ju;cuiller;12;0
louju;lou;cuiller;12;1
louju;ju;cuiller;12;0
louju;lou;cuiller;12;1
louju;ju;cuiller;12;0
alojo;jo;cuiller;6;1
alojo;jo;cuiller;8;0
alojo;jo;cuiller;10;0
alojo;jo;cuiller;12;1
alojo;alo;cuiller;6;1
alojo;alo;cuiller;8;1
alojo;alo;cuiller;10;0
alojo;alo;cuiller;12;0
alojo;jo;basket;6;1
alojo;jo;basket;8;0
alojo;jo;basket;10;0
alojo;jo;basket;12;0
alojo;alo;basket;6;1
alojo;alo;basket;8;1
alojo;alo;basket;10;1
alojo;alo;basket;12;0
alojo;jo;cuiller;6;0
alojo;jo;cuiller;8;1
alojo;jo;cuiller;10;1
alojo;jo;cuiller;12;1
alojo;alo;cuiller;6;1
alojo;alo;cuiller;8;1
alojo;alo;cuiller;10;1
alojo;alo;cuiller;12;0
alojo;jo;basket;6;0
alojo;jo;basket;8;0
alojo;jo;basket;10;0
alojo;jo;basket;12;0
alojo;alo;basket;6;1
alojo;alo;basket;8;0
alojo;alo;basket;10;0
alojo;alo;basket;12;0
alojo;jo;cuiller;6;1
alojo;jo;cuiller;8;1
alojo;jo;cuiller;10;1
alojo;jo;cuiller;12;0
alojo;alo;cuiller;6;1
alojo;alo;cuiller;8;1
alojo;alo;cuiller;10;0
alojo;alo;cuiller;12;1
alojo;jo;basket;6;1
alojo;jo;basket;8;1
alojo;jo;basket;10;1
alojo;jo;basket;12;1
alojo;alo;basket;6;1
alojo;alo;basket;8;1
alojo;alo;basket;10;0
alojo;alo;basket;12;1
alojo;jo;cuiller;6;0
alojo;jo;cuiller;8;1
alojo;jo;cuiller;10;1
alojo;jo;cuiller;12;0
alojo;alo;cuiller;6;1
alojo;alo;cuiller;8;0
alojo;alo;cuiller;10;1
alojo;alo;cuiller;12;0
alojo;jo;basket;6;1
alojo;jo;basket;8;0
alojo;jo;basket;10;0
alojo;jo;basket;12;1
alojo;alo;basket;6;1
alojo;alo;basket;8;1
alojo;alo;basket;10;1
alojo;alo;basket;12;1
hugquent;hugo;cuiller;6;1
hugquent;hugo;cuiller;8;1
hugquent;hugo;cuiller;10;1
hugquent;hugo;cuiller;12;1
hugquent;quent;cuiller;6;1
hugquent;quent;cuiller;8;1
hugquent;quent;cuiller;10;1
hugquent;quent;cuiller;12;1
hugquent;hugo;cuiller;6;0
hugquent;hugo;cuiller;8;1
hugquent;hugo;cuiller;10;1
hugquent;hugo;cuiller;12;1
hugquent;quent;cuiller;6;1
hugquent;quent;cuiller;8;0
hugquent;quent;cuiller;10;0
hugquent;quent;cuiller;12;1
hugquent;hugo;cuiller;6;1
hugquent;hugo;cuiller;8;1
hugquent;hugo;cuiller;10;1
hugquent;hugo;cuiller;12;0
hugquent;quent;cuiller;6;1
hugquent;quent;cuiller;8;1
hugquent;quent;cuiller;10;1
hugquent;quent;cuiller;12;0
hugquent;hugo;cuiller;6;1
hugquent;hugo;cuiller;8;0
hugquent;hugo;cuiller;10;1
hugquent;hugo;cuiller;12;1
hugquent;quent;cuiller;6;1
hugquent;quent;cuiller;8;1
hugquent;quent;cuiller;10;1
hugquent;quent;cuiller;12;1
hugquent;hugo;basket;6;1
hugquent;hugo;basket;8;1
hugquent;hugo;basket;10;1
hugquent;hugo;basket;12;1
hugquent;quent;basket;6;0
hugquent;quent;basket;8;1
hugquent;quent;basket;10;1
hugquent;quent;basket;12;0
hugquent;hugo;basket;6;1
hugquent;hugo;basket;8;1
hugquent;hugo;basket;10;1
hugquent;hugo;basket;12;0
hugquent;quent;basket;6;1
hugquent;quent;basket;8;1
hugquent;quent;basket;10;1
hugquent;quent;basket;12;0
hugquent;hugo;basket;6;1
hugquent;hugo;basket;8;0
hugquent;hugo;basket;10;1
hugquent;hugo;basket;12;1
hugquent;quent;basket;6;1
hugquent;quent;basket;8;1
hugquent;quent;basket;10;1
hugquent;quent;basket;12;0
hugquent;hugo;basket;6;1
hugquent;hugo;basket;8;1
hugquent;hugo;basket;10;1
hugquent;hugo;basket;12;1
hugquent;quent;basket;6;0
hugquent;quent;basket;8;1
hugquent;quent;basket;10;1
hugquent;quent;basket;12;0
